Epoch,Loss,Accuracy
0,2.0099359243344037,0.5137997432605905
1,1.471153939075959,0.6181001283697047
2,1.160121459227342,0.7185494223363287
3,0.9414425987463731,0.7939666238767651
4,0.7778615279075427,0.8289473684210527
5,0.6697760918201544,0.8543003851091142
6,0.5853465074147933,0.8716302952503209
7,0.5281788326226748,0.884788189987163
8,0.47176280938662013,0.8937740693196405
9,0.4450374632309645,0.9056482670089859
10,0.4093575158944497,0.9146341463414634
11,0.3765389362206826,0.9181643132220796
12,0.3544595897197723,0.9181643132220796
13,0.3352634011934965,0.9255455712451861
14,0.31591537862251967,0.9245827984595636
15,0.2996351441511741,0.9322849807445442
16,0.282330193122228,0.9370988446726572
17,0.272572122552456,0.9358151476251605
18,0.2602805000849259,0.9387034659820283
19,0.2568665608381614,0.9419127086007703
20,0.2402893908512898,0.9428754813863928
21,0.23093782372963734,0.941591784338896
22,0.22826656385874136,0.9435173299101413
23,0.21627100098591584,0.94801026957638
24,0.2140786125873908,0.9505776636713735
25,0.20791048736144335,0.9502567394094994
26,0.2140579084555308,0.9499358151476252
27,0.19263203552900215,0.9492939666238768
28,0.18629184424495085,0.9525032092426188
29,0.18626727045346528,0.9528241335044929
30,0.18071982929339775,0.9515404364569962
31,0.1831184718853388,0.9531450577663672
32,0.16833397711698825,0.9557124518613607
33,0.1603716323390985,0.9553915275994865
34,0.16145391487158262,0.9576379974326059
35,0.1558116930608566,0.9563543003851092
36,0.15308362176785104,0.9589216944801027
37,0.1580545381666758,0.959563543003851
38,0.14860439501129663,0.959563543003851
39,0.1435344353509255,0.9592426187419769
40,0.1443108567251609,0.9621309370988447
41,0.1367398812698248,0.9637355584082157
42,0.13927190728867667,0.962772785622593
43,0.13581483318255497,0.9605263157894737
44,0.13291681903677108,0.9634146341463414
45,0.12935195280573306,0.964377406931964
46,0.13484430903425584,0.9653401797175867
47,0.12771333844806904,0.9663029525032092
48,0.12472098010281722,0.9672657252888318
49,0.13376969551810852,0.9675866495507061
50,0.12202668969447795,0.9666238767650834
51,0.11916788768691894,0.9669448010269577
52,0.1212098682155976,0.9675866495507061
53,0.12064558627704779,0.9701540436456996
54,0.1243270944708433,0.9672657252888318
55,0.11997259272596775,0.9669448010269577
56,0.11147664537987648,0.9685494223363287
57,0.12910450205493432,0.9695121951219512
58,0.11112972198961638,0.9707958921694481
59,0.110300624026702,0.9698331193838254
60,0.10700261836441663,0.9704749679075738
61,0.10713083071586413,0.9682284980744544
62,0.11550388630384054,0.9711168164313222
63,0.10648962554450218,0.9720795892169448
64,0.10663206646075615,0.9717586649550706
65,0.10449648674290914,0.9714377406931964
66,0.1004243964377122,0.9733632862644416
67,0.09999467164086989,0.9707958921694481
68,0.11992129965279347,0.972400513478819
69,0.10123134738264175,0.9720795892169448
70,0.09815504083839746,0.9720795892169448
71,0.10025273895798585,0.9736842105263158
72,0.10547988934872242,0.9717586649550706
73,0.09806735049933195,0.9717586649550706
74,0.09669158109105551,0.9730423620025674
75,0.09517130590020081,0.9730423620025674
76,0.09584955999102347,0.9727214377406932
77,0.09136224472656464,0.9730423620025674
78,0.09299343470006417,0.97400513478819
79,0.09177302460257823,0.9746469833119383
80,0.09250812507115114,0.9759306803594352
81,0.08765916507213543,0.9733632862644416
82,0.08941830143523521,0.9743260590500642
83,0.08781298690785964,0.9746469833119383
84,0.08706767084793403,0.9733632862644416
85,0.08720345050096512,0.975609756097561
86,0.08689440785883329,0.9749679075738126
87,0.08907620039505837,0.9749679075738126
88,0.08673427376227501,0.9759306803594352
89,0.08533014476967928,0.9765725288831836
90,0.08324522878497075,0.9759306803594352
91,0.08615995273949244,0.9743260590500642
92,0.0884106621146202,0.9759306803594352
93,0.08595136634241311,0.9759306803594352
94,0.08186841811029574,0.9743260590500642
95,0.0831302960904745,0.975609756097561
96,0.08134924393529311,0.9752888318356868
97,0.0814756993490916,0.9752888318356868
98,0.08155907353338523,0.9762516046213093
99,0.08019374658664068,0.9762516046213093
100,0.07935906700694408,0.9781771501925546
101,0.07893194336062058,0.9762516046213093
102,0.09202724731980991,0.975609756097561
103,0.07973678663659554,0.9778562259306803
104,0.11853352350493272,0.9762516046213093
105,0.08192636442299073,0.9775353016688062
106,0.07718208933201356,0.9775353016688062
107,0.0748187050796472,0.9768934531450578
108,0.07664549523152601,0.977214377406932
109,0.07597024116474084,0.9768934531450578
110,0.07489993184900437,0.9762516046213093
111,0.073778245316293,0.9781771501925546
112,0.07511361273339925,0.9765725288831836
113,0.0734416441180003,0.977214377406932
114,0.07323373389931825,0.9778562259306803
115,0.07270691796468619,0.9762516046213093
116,0.0717265092743895,0.9781771501925546
117,0.07364273908285376,0.9781771501925546
118,0.0729540136618874,0.9768934531450578
119,0.06931312842867696,0.977214377406932
120,0.07524656072163428,0.9797817715019256
121,0.0946428778509681,0.9791399229781772
122,0.07215946841125305,0.9778562259306803
123,0.07015081342214192,0.9784980744544287
124,0.07307992502091787,0.9794608472400513
125,0.06847533045145564,0.978818998716303
126,0.06927431620752965,0.9784980744544287
127,0.06990022781806496,0.9794608472400513
128,0.07583558798457185,0.978818998716303
129,0.07024354376376439,0.977214377406932
130,0.06822681853738732,0.9784980744544287
131,0.06768268074792547,0.978818998716303
132,0.06793652860304485,0.978818998716303
133,0.06764346574409268,0.9791399229781772
134,0.06778497997528085,0.978818998716303
135,0.07012233983677549,0.9784980744544287
136,0.06691440724505064,0.9794608472400513
137,0.0665229368238495,0.9794608472400513
138,0.06757407858012579,0.9781771501925546
139,0.0679319018092102,0.9794608472400513
140,0.06406243522293292,0.980423620025674
141,0.06397015138600881,0.9797817715019256
142,0.06512568108976269,0.9794608472400513
143,0.06467768139420793,0.9813863928112966
144,0.06460816592025834,0.9817073170731707
145,0.06391816692761122,0.9797817715019256
146,0.06405623106715772,0.9794608472400513
147,0.06392241261827832,0.9813863928112966
148,0.06295626437148223,0.9810654685494223
149,0.07081171797158627,0.9810654685494223
150,0.06419295653796349,0.980423620025674
151,0.062062780172205886,0.9807445442875481
152,0.06168120043734327,0.9794608472400513
153,0.06442025947647217,0.9797817715019256
154,0.06066977638178147,0.982028241335045
155,0.06194055547030308,0.9801026957637997
156,0.07145892874313853,0.9797817715019256
157,0.0601211997322165,0.9813863928112966
158,0.060056106151583105,0.9801026957637997
159,0.06273520031275276,0.9817073170731707
160,0.06130201210840963,0.9807445442875481
161,0.05955293319450739,0.9801026957637997
162,0.06243571292561216,0.9813863928112966
