Epoch,Loss,Accuracy
0,2.1476833501405883,0.4306088864509051
1,1.6483403486117982,0.5907844212835984
2,1.3025144979096295,0.6703236423477784
3,1.1004554613640434,0.7262753702687877
4,0.9720278330016554,0.7707076247942951
5,0.88079140374535,0.7833241908941305
6,0.824756600616271,0.8052660449808009
7,0.7805942090456945,0.814042786615469
8,0.7356096260380327,0.8269336258913879
9,0.6866880600389681,0.832144816236972
10,0.6525895802075403,0.8392759188151399
11,0.6303801897325014,0.8499725726823917
12,0.604521014711313,0.8524410312671421
13,0.5823786593320077,0.8554580362040592
14,0.5614256853597206,0.8601206801974767
15,0.5440218718559072,0.8656061437191442
16,0.5260204084609684,0.8691716950082282
17,0.524531349147621,0.8710916072408118
18,0.5039464587574465,0.8730115194733955
19,0.4855027410544847,0.8793198025233132
20,0.4712248022357623,0.8768513439385628
21,0.4638248629737319,0.8826110806363138
22,0.48807925809370845,0.8902907295666483
23,0.4456920951212707,0.8902907295666483
24,0.4401095239608957,0.8913878222709819
25,0.42746912040992785,0.8924849149753155
26,0.414932790686164,0.8941305540318157
27,0.4175796264357734,0.894404827207899
28,0.4123928539716361,0.8963247394404827
29,0.3937936048105098,0.8955019199122326
30,0.3898324395219485,0.8976961053208996
31,0.3827951495584689,0.897970378496983
32,0.3837311795929022,0.8968732857926495
33,0.3785066177186213,0.897970378496983
34,0.37036129976050897,0.8982446516730663
35,0.3615958838347803,0.8996160175534833
36,0.36032876385408535,0.9004388370817334
37,0.36219519331005584,0.8998902907295666
38,0.35173062653395165,0.9015359297860669
39,0.34647420244781596,0.9015359297860669
40,0.3466264605195376,0.9018102029621503
41,0.34031947159714865,0.902358749314317
42,0.3652781197114995,0.9031815688425672
43,0.3402818217220014,0.9040043883708173
44,0.3321762972331622,0.9029072956664839
45,0.32992330778455525,0.9053757542512342
46,0.32546209145271987,0.903730115194734
47,0.321216404045883,0.9051014810751509
48,0.3374894909691392,0.9064728469555677
49,0.314489383087085,0.9051014810751509
50,0.31976570819684286,0.9061985737794843
51,0.31630637869238853,0.9053757542512342
52,0.31426370199442955,0.9086670323642347
53,0.30495720918764146,0.9089413055403182
54,0.309251886580074,0.9086670323642347
55,0.3171204600417823,0.9094898518924849
56,0.2976385146836963,0.9086670323642347
57,0.2991136416073954,0.9078442128359846
58,0.2983381879564963,0.910312671420735
59,0.3033354193495031,0.9094898518924849
60,0.2956486827971643,0.9097641250685683
61,0.29448151186500726,0.9105869445968184
62,0.2901639669741455,0.9108612177729019
63,0.2904613663426094,0.9105869445968184
64,0.30450214285468846,0.9119583104772353
65,0.29481343794287296,0.9105869445968184
66,0.28763787948379393,0.9127811300054854
67,0.2874683108376829,0.9111354909489852
68,0.28487362719157283,0.9111354909489852
69,0.28441414818690536,0.9136039495337356
70,0.28060170946021873,0.9119583104772353
71,0.29698618563512963,0.911684037301152
72,0.2771459887163681,0.9130554031815689
73,0.2863324037181181,0.9136039495337356
74,0.274233198871738,0.913878222709819
75,0.27618489019049886,0.913878222709819
76,0.2792117424113186,0.9147010422380691
77,0.2756431215164954,0.913878222709819
78,0.26804318880302863,0.9127811300054854
79,0.2688775645046119,0.9147010422380691
80,0.2667621971810596,0.9144267690619857
81,0.26831188757103264,0.9152495885902359
82,0.26781541868848235,0.9149753154141524
83,0.2684680166278492,0.9152495885902359
84,0.26535592868662716,0.9157981349424026
85,0.2654076350787491,0.9157981349424026
86,0.28070770962196484,0.9155238617663193
